quartile_by_total_sales;seller_count;avg_monthly_order_count;avg_price;avg_tech_price;avg_monthly_sales;total_sales;tech_sales;tech_ratio
1;764;0.07340314;64.46421961465212;72.81324216382421;4.12159425323546;78722.45023679733;6586.8300104141235;0.08367155735880834
2;763;0.21992136;131.34248473651806;135.16243874387865;18.839169613224488;359357.16037225723;41674.1700963974;0.1159686648604058
3;763;0.61986894;210.90772323446896;226.8573007019167;69.12451006840588;1318550.029554844;140570.16981315613;0.10660965959753084
4;763;4.30516383;299.50000135144;340.95767134842794;615.3484194865853;11737771.101706624;3078251.84675622;0.2622518210726272
